央视频道,#genre#
CCTV-1 综合,https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8
CCTV-2 财经,https://node1.olelive.com:6443/live/CCTV2HD/hls.m3u8
CCTV-3 综艺,http://61.169.37.218:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV-4 财经,http://61.169.37.218:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV-5 体育,https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8
CCTV-5 赛事,https://node1.olelive.com:6443/live/CCTV5PHD/hls.m3u8
CCTV-6 电影,http://61.169.37.218:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV-7 军事,https://node1.olelive.com:6443/live/CCTV7HD/hls.m3u8
CCTV-8 电视剧,https://node1.olelive.com:6443/live/CCTV8HD/hls.m3u8
CCTV-9 纪录,https://node1.olelive.com:6443/live/CCTV9HD/hls.m3u8
CCTV-10 科教,https://node1.olelive.com:6443/live/CCTV10HD/hls.m3u8
CCTV-11 戏曲,http://61.169.37.218:9901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV-12 社会与法,http://61.169.37.218:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV-13 新闻,http://61.169.37.218:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV-14 少儿,http://61.169.37.218:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV-15 音乐,http://61.169.37.218:9901/tsfile/live/0015_1.m3u8?key=txiptv
CCTV-16 奥林匹克,http://111.20.40.165/PLTV/88888893/224/3221226921/index.m3u8
CCTV-17 农业农村,https://node1.olelive.com:6443/live/CCTV17HD/hls.m3u8

国际频道,#genre#
半岛英语,https://live-hls-web-aje.getaj.net/AJE/01.m3u8

香港频道,#genre#
凤凰中文,http://113.117.74.26:8081/hls/36/index.m3u8
凤凰资讯,http://113.117.74.26:8081/hls/37/index.m3u8
凤凰香港,http://113.117.74.26:8081/hls/38/index.m3u8

CHC频道,#genre#
CHC动作电影,http://111.20.40.166/PLTV/88888893/224/3221226465/index.m3u8
CHC家庭影院,http://111.20.40.166/PLTV/88888893/224/3221226462/index.m3u8
CHC高清电影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com

卫视频道,#genre#
内蒙古卫视,https://iptv.luas.edu.cn/liverespath/5a601b122fcaacb6480b65cb74ee8f76347020d6/aae176985f-0-0-f061a231739c0eef9eedd7098db170e9/index.m3u8
北京卫视,http://61.169.37.218:9901/tsfile/live/1005_1.m3u8?key=txiptv
湖南卫视,http://61.169.37.218:9901/tsfile/live/1004_1.m3u8?key=txiptv
东方卫视,http://61.169.37.218:9901/tsfile/live/0107_1.m3u8?key=txiptv
四川卫视,http://39.165.35.152:9901/tsfile/live/1142_1.m3u8?key=txiptv
天津卫视,https://iptv.luas.edu.cn/liverespath/41433c450cf4747cf2600adecc560bc90f344182/c10d51d64c-0-0-eb4f25a76a7509a0131dd64742139be4/index.m3u8
安徽卫视,https://iptv.luas.edu.cn/liverespath/6e91e17de838dbf7c77f9ed8e41726bd4a1516f5/494a63d492-0-0-94541fa104bd30ce82410455ab950402/index.m3u8
山东卫视,https://iptv.luas.edu.cn/liverespath/8b205af319dcc92c60a69a96423af21b24a29ca0/dd6f0a43db-0-0-63f6f29dcc6843fd6b50323d4bfc8b09/index.m3u8
广东卫视,https://iptv.luas.edu.cn/liverespath/57e80ee85ec1f4e523e1bca55f5a676abd292db8/0ff9a42344-0-0-0eb4f8fe53cdbc02d1db696ecc425752/index.m3u8
广西卫视,http://live.gxrb.com.cn/tv/gxtvlive03/index.m3u8
江苏卫视,http://61.169.37.218:9901/tsfile/live/1003_1.m3u8?key=txiptv
江西卫视,http://61.169.37.218:9901/tsfile/live/0121_1.m3u8?key=txiptv
河北卫视,http://61.169.37.218:9901/tsfile/live/0139_1.m3u8?key=txiptv
河南卫视,http://223.109.210.41/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226064/index.m3u8
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
海南卫视,http://61.169.37.218:9901/tsfile/live/0126_1.m3u8?key=txiptv
深圳卫视,http://61.169.37.218:9901/tsfile/live/0124_1.m3u8?key=txiptv
湖北卫视,http://61.169.37.218:9901/tsfile/live/0122_1.m3u8?key=txiptv
山西卫视,http://61.169.37.218:9901/tsfile/live/0123_1.m3u8?key=txiptv
东南卫视,http://61.169.37.218:9901/tsfile/live/0137_1.m3u8?key=txiptv
贵州卫视,https://iptv.luas.edu.cn/liverespath/11e39871ee899ed6c7bddadb1c83cbd658562297/bd25603388-0-0-014fe4fb21acfc8414f969b38a29037c/index.m3u8
辽宁卫视,https://iptv.luas.edu.cn/liverespath/73aedb8ffd21b3b8afe4664591d4cb3a5cced827/bdc834c533-0-0-aefef0ed39d19073554f1c7e80a25cbc/index.m3u8
重庆卫视,https://iptv.luas.edu.cn/liverespath/b14734af7f740eb61419248c57e25551a7d1093f/5255a86445-0-0-4ce4f2e82145e9bc39b5b4ccd7cce4a0/index.m3u8
黑龙江卫视,https://iptv.luas.edu.cn/liverespath/fe1745c7599e85d0a34fa0ad3986ef25c2ed7c6f/62f40ca683-0-0-8f0a9a264759754e90aa804bf7e9f8a8/index.m3u8
宁夏卫视,http://61.169.37.218:9901/tsfile/live/0125_1.m3u8?key=txiptv
陕西卫视,http://61.169.37.218:9901/tsfile/live/0116_1.m3u8?key=txiptv
甘肃卫视,http://39.165.35.152:9901/tsfile/live/1154_1.m3u8?key=txiptv
吉林卫视,http://61.169.37.218:9901/tsfile/live/0135_1.m3u8?key=txiptv
云南卫视,https://iptv.luas.edu.cn/liverespath/d45a277ca433670e3f463b497783af19bb2c63f8/3f1dcf4cf3-0-0-3f0618b5bab73c0ebb1be6c66ccbf65d/index.m3u8
三沙卫视,https://pullsstv90080111.ssws.tv/live/SSTV20220729.m3u8
青海卫视,http://stream.qhbtv.com/qhws/playlist.m3u8
新疆卫视,http://39.165.35.152:9901/tsfile/live/1160_1.m3u8?key=txiptv
西藏卫视,http://hms2944nc1972666638.live.aikan.miguvideo.com/wh7f454c46tw1594087791_1409479634/envivo_x/2018/SD/xizang/1000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250×tamp=20230816073744&ContentId=524854265&timezone=UTC&mtv_session=5640f857e31349921ba36207946fa904&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=df71711e34a615ea23f680ef139afb1d&咪咕
厦门卫视,https://iptv.luas.edu.cn/liverespath/151ef24b315bb7709d1a2f7a35d260932c6e9eb5/5c5bb21675-0-0-801ffebe6fb4a4e6c1274a991f5ba12f/index.m3u8

浙江频道,#genre#
浙江公共新闻,http://hw-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,http://hw-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科影视,http://hw-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江数码时代,http://hw-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生休闲,http://hw-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济生活,http://hw-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江频道,http://hw-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8

安徽地方台,#genre#
经济生活,http://112.30.194.221:20080/live/eac499adad7b49ff9cfa79ba84693959/hls.m3u8
综艺体育,http://112.30.194.221:20080/live/c41f112b83f644ddb082669501c8ecd3/hls.m3u8
安徽影视,http://112.30.194.221:20080/live/d18ff95cb1fb4bbcb56215e189fc12be.flv
